"trial","shape","colour","shape_value","colour_value","value","choice","rt","accuracy"
1,"square","purple",1,-5,-4,"accept",1613,0
2,"diamond","green",5,-3,2,"reject",1042,0
3,"squiggle","red",6,-1,5,"accept",1340,1
4,"squiggle","red",6,-1,5,"accept",2094,1
5,"rhombus","orange",4,-6,-2,"accept",1497,0
6,"triangle","orange",2,-6,-4,"reject",1645,1
7,"squiggle","green",6,-3,3,"accept",619,1
8,"square","orange",1,-6,-5,"reject",2054,1
9,"square","blue",1,-2,-1,"reject",1492,1
10,"rhombus","blue",4,-2,2,"accept",1133,1
11,"triangle","green",2,-3,-1,"accept",1268,0
12,"rhombus","red",4,-1,3,"accept",712,1
13,"triangle","yellow",2,-4,-2,"accept",2144,0
14,"squiggle","red",6,-1,5,"accept",911,1
15,"circle","orange",3,-6,-3,"accept",1346,0
16,"diamond","yellow",5,-4,1,"accept",4972,1
17,"circle","red",3,-1,2,"accept",872,1
18,"squiggle","yellow",6,-4,2,"accept",1333,1
19,"diamond","yellow",5,-4,1,"accept",1035,1
20,"rhombus","purple",4,-5,-1,"accept",1953,0
21,"rhombus","blue",4,-2,2,"accept",1988,1
22,"diamond","red",5,-1,4,"accept",769,1
23,"triangle","purple",2,-5,-3,"accept",2846,0
24,"squiggle","yellow",6,-4,2,"reject",1348,0
25,"square","blue",1,-2,-1,"accept",717,0
26,"triangle","red",2,-1,1,"reject",2297,0
27,"diamond","green",5,-3,2,"reject",1540,0
28,"rhombus","red",4,-1,3,"accept",753,1
29,"square","green",1,-3,-2,"accept",1692,0
30,"square","yellow",1,-4,-3,"reject",772,1
31,"diamond","green",5,-3,2,"accept",1534,1
32,"square","blue",1,-2,-1,"reject",557,1
33,"diamond","purple",5,-5,0,"accept",2436,1
34,"diamond","yellow",5,-4,1,"reject",1718,0
35,"circle","green",3,-3,0,"reject",748,1
36,"square","red",1,-1,0,"accept",1545,1
37,"rhombus","purple",4,-5,-1,"accept",2420,0
38,"rhombus","purple",4,-5,-1,"reject",1054,1
39,"triangle","blue",2,-2,0,"accept",1770,1
40,"rhombus","yellow",4,-4,0,"accept",807,1
41,"rhombus","green",4,-3,1,"accept",3917,1
42,"triangle","orange",2,-6,-4,"accept",837,0
43,"circle","green",3,-3,0,"accept",2744,1
44,"diamond","purple",5,-5,0,"reject",3296,1
45,"square","blue",1,-2,-1,"accept",1112,0
46,"triangle","purple",2,-5,-3,"accept",2339,0
47,"triangle","yellow",2,-4,-2,"reject",1409,1
48,"triangle","blue",2,-2,0,"accept",2527,1
49,"circle","green",3,-3,0,"accept",3556,1
50,"square","yellow",1,-4,-3,"accept",712,0
51,"circle","orange",3,-6,-3,"reject",898,1
52,"square","blue",1,-2,-1,"accept",1170,0
53,"diamond","orange",5,-6,-1,"accept",790,0
54,"squiggle","red",6,-1,5,"reject",1142,0
55,"diamond","orange",5,-6,-1,"accept",898,0
56,"squiggle","red",6,-1,5,"accept",1645,1
57,"rhombus","orange",4,-6,-2,"accept",1925,0
58,"triangle","green",2,-3,-1,"reject",551,1
59,"square","purple",1,-5,-4,"accept",1257,0
60,"diamond","orange",5,-6,-1,"accept",935,0
61,"triangle","yellow",2,-4,-2,"accept",633,0
62,"squiggle","green",6,-3,3,"reject",3554,0
63,"squiggle","green",6,-3,3,"accept",937,1
64,"triangle","purple",2,-5,-3,"accept",1450,0
65,"rhombus","blue",4,-2,2,"reject",1901,0
66,"circle","orange",3,-6,-3,"accept",3044,0
67,"circle","purple",3,-5,-2,"accept",1290,0
68,"diamond","orange",5,-6,-1,"accept",925,0
69,"triangle","blue",2,-2,0,"reject",987,1
70,"rhombus","blue",4,-2,2,"accept",1180,1
71,"square","green",1,-3,-2,"accept",648,0
72,"squiggle","red",6,-1,5,"accept",2370,1
73,"triangle","blue",2,-2,0,"accept",1647,1
74,"squiggle","blue",6,-2,4,"reject",767,0
75,"circle","purple",3,-5,-2,"reject",829,1
76,"rhombus","orange",4,-6,-2,"accept",2716,0
77,"rhombus","purple",4,-5,-1,"reject",2278,1
78,"triangle","orange",2,-6,-4,"reject",500,1
79,"triangle","yellow",2,-4,-2,"reject",1776,1
80,"square","purple",1,-5,-4,"accept",2654,0
81,"square","green",1,-3,-2,"accept",2557,0
82,"circle","purple",3,-5,-2,"reject",1861,1
83,"square","green",1,-3,-2,"reject",1239,1
84,"square","purple",1,-5,-4,"accept",953,0
85,"triangle","yellow",2,-4,-2,"accept",1836,0
86,"square","blue",1,-2,-1,"accept",959,0
87,"circle","orange",3,-6,-3,"accept",1361,0
88,"triangle","orange",2,-6,-4,"accept",1014,0
89,"circle","purple",3,-5,-2,"accept",1349,0
90,"rhombus","blue",4,-2,2,"accept",1129,1
91,"circle","yellow",3,-4,-1,"accept",1280,0
92,"square","purple",1,-5,-4,"reject",1499,1
93,"diamond","green",5,-3,2,"accept",475,1
94,"rhombus","purple",4,-5,-1,"accept",749,0
95,"squiggle","orange",6,-6,0,"accept",1051,1
96,"square","purple",1,-5,-4,"accept",1092,0
97,"triangle","blue",2,-2,0,"accept",900,1
98,"rhombus","orange",4,-6,-2,"accept",4122,0
99,"triangle","blue",2,-2,0,"reject",599,1
