"trial","shape","colour","shape_value","colour_value","value","choice","rt","accuracy"
1,"squiggle","yellow",6,-4,2,"accept",2277,1
2,"square","blue",1,-2,-1,"accept",926,0
3,"triangle","blue",2,-2,0,"reject",1284,1
4,"squiggle","purple",6,-5,1,"accept",1136,1
5,"square","red",1,-1,0,"accept",1639,1
6,"triangle","yellow",2,-4,-2,"accept",1426,0
7,"rhombus","green",4,-3,1,"accept",1398,1
8,"triangle","blue",2,-2,0,"accept",3328,1
9,"triangle","purple",2,-5,-3,"reject",3660,1
10,"circle","yellow",3,-4,-1,"accept",1273,0
11,"circle","red",3,-1,2,"accept",2779,1
12,"circle","green",3,-3,0,"accept",1524,1
13,"triangle","green",2,-3,-1,"accept",967,0
14,"square","purple",1,-5,-4,"reject",2526,1
15,"triangle","yellow",2,-4,-2,"accept",3306,0
16,"triangle","purple",2,-5,-3,"accept",1745,0
17,"circle","orange",3,-6,-3,"accept",1706,0
18,"square","green",1,-3,-2,"accept",1194,0
19,"diamond","red",5,-1,4,"accept",2047,1
20,"squiggle","red",6,-1,5,"accept",3372,1
21,"circle","orange",3,-6,-3,"accept",1194,0
22,"rhombus","orange",4,-6,-2,"reject",1270,1
23,"diamond","orange",5,-6,-1,"reject",2950,1
24,"circle","blue",3,-2,1,"accept",790,1
25,"rhombus","orange",4,-6,-2,"accept",932,0
26,"circle","blue",3,-2,1,"accept",1811,1
27,"rhombus","red",4,-1,3,"reject",1745,0
28,"circle","orange",3,-6,-3,"reject",806,1
29,"circle","yellow",3,-4,-1,"reject",1640,1
30,"triangle","orange",2,-6,-4,"reject",1854,1
31,"diamond","red",5,-1,4,"reject",727,0
32,"square","red",1,-1,0,"accept",1005,1
33,"diamond","yellow",5,-4,1,"reject",600,0
34,"square","red",1,-1,0,"accept",1065,1
35,"circle","yellow",3,-4,-1,"accept",700,0
36,"square","red",1,-1,0,"accept",853,1
37,"circle","red",3,-1,2,"accept",954,1
38,"square","purple",1,-5,-4,"reject",3522,1
39,"triangle","blue",2,-2,0,"accept",515,1
40,"rhombus","purple",4,-5,-1,"accept",2019,0
41,"square","red",1,-1,0,"accept",2464,1
42,"rhombus","blue",4,-2,2,"accept",1220,1
43,"squiggle","green",6,-3,3,"accept",467,1
44,"circle","orange",3,-6,-3,"reject",2392,1
45,"triangle","yellow",2,-4,-2,"accept",1499,0
46,"circle","orange",3,-6,-3,"accept",994,0
47,"circle","blue",3,-2,1,"accept",951,1
48,"squiggle","purple",6,-5,1,"accept",803,1
49,"square","yellow",1,-4,-3,"accept",1286,0
50,"rhombus","purple",4,-5,-1,"accept",1893,0
51,"squiggle","yellow",6,-4,2,"accept",954,1
52,"diamond","red",5,-1,4,"accept",1174,1
53,"square","green",1,-3,-2,"accept",920,0
54,"squiggle","red",6,-1,5,"accept",3057,1
55,"triangle","yellow",2,-4,-2,"accept",953,0
56,"triangle","yellow",2,-4,-2,"accept",1643,0
57,"squiggle","orange",6,-6,0,"accept",1625,1
58,"circle","blue",3,-2,1,"accept",2550,1
59,"squiggle","red",6,-1,5,"accept",1674,1
60,"square","red",1,-1,0,"reject",3582,1
61,"rhombus","yellow",4,-4,0,"reject",434,1
62,"diamond","orange",5,-6,-1,"accept",484,0
63,"triangle","green",2,-3,-1,"reject",2870,1
64,"circle","purple",3,-5,-2,"reject",4213,1
65,"circle","orange",3,-6,-3,"accept",3173,0
66,"circle","yellow",3,-4,-1,"accept",985,0
67,"diamond","green",5,-3,2,"reject",2218,0
68,"circle","yellow",3,-4,-1,"accept",1090,0
69,"diamond","green",5,-3,2,"accept",2420,1
70,"triangle","orange",2,-6,-4,"reject",800,1
71,"diamond","yellow",5,-4,1,"accept",1044,1
72,"square","purple",1,-5,-4,"accept",2443,0
73,"circle","purple",3,-5,-2,"accept",1945,0
74,"circle","green",3,-3,0,"reject",1484,1
75,"square","purple",1,-5,-4,"reject",1298,1
76,"square","green",1,-3,-2,"accept",989,0
77,"squiggle","purple",6,-5,1,"accept",649,1
78,"rhombus","yellow",4,-4,0,"reject",1052,1
79,"square","yellow",1,-4,-3,"accept",622,0
80,"diamond","orange",5,-6,-1,"accept",848,0
81,"triangle","green",2,-3,-1,"accept",542,0
82,"squiggle","red",6,-1,5,"accept",1982,1
83,"squiggle","red",6,-1,5,"accept",1958,1
84,"square","red",1,-1,0,"accept",818,1
85,"rhombus","green",4,-3,1,"accept",4340,1
86,"circle","purple",3,-5,-2,"reject",1354,1
87,"squiggle","purple",6,-5,1,"reject",624,0
88,"squiggle","purple",6,-5,1,"accept",2038,1
89,"squiggle","orange",6,-6,0,"accept",1471,1
90,"squiggle","orange",6,-6,0,"accept",641,1
91,"diamond","green",5,-3,2,"reject",2091,0
92,"circle","purple",3,-5,-2,"reject",2227,1
93,"circle","green",3,-3,0,"accept",2539,1
94,"circle","red",3,-1,2,"accept",1802,1
95,"rhombus","red",4,-1,3,"accept",599,1
96,"rhombus","blue",4,-2,2,"accept",498,1
97,"diamond","purple",5,-5,0,"accept",1309,1
