"trial","shape","colour","shape_value","colour_value","value","choice","rt","accuracy"
1,"triangle","yellow",2,-4,-2,"accept",768,0
2,"triangle","purple",2,-5,-3,"accept",1183,0
3,"squiggle","yellow",6,-4,2,"accept",3332,1
4,"square","green",1,-3,-2,"accept",2303,0
5,"square","orange",1,-6,-5,"accept",1808,0
6,"diamond","red",5,-1,4,"reject",582,0
7,"circle","yellow",3,-4,-1,"reject",1188,1
8,"diamond","red",5,-1,4,"accept",1817,1
9,"rhombus","green",4,-3,1,"accept",2807,1
10,"triangle","orange",2,-6,-4,"reject",1068,1
11,"diamond","green",5,-3,2,"accept",588,1
12,"rhombus","green",4,-3,1,"accept",1526,1
13,"rhombus","blue",4,-2,2,"accept",2233,1
14,"rhombus","red",4,-1,3,"accept",2159,1
15,"diamond","green",5,-3,2,"reject",824,0
16,"square","yellow",1,-4,-3,"accept",1075,0
17,"rhombus","red",4,-1,3,"accept",1600,1
18,"circle","red",3,-1,2,"accept",524,1
19,"square","orange",1,-6,-5,"reject",1803,1
20,"rhombus","red",4,-1,3,"accept",1409,1
21,"rhombus","yellow",4,-4,0,"accept",3307,1
22,"diamond","blue",5,-2,3,"reject",1009,0
23,"circle","blue",3,-2,1,"accept",1253,1
24,"triangle","purple",2,-5,-3,"accept",785,0
25,"circle","purple",3,-5,-2,"reject",1093,1
26,"square","orange",1,-6,-5,"accept",998,0
27,"squiggle","purple",6,-5,1,"accept",1236,1
28,"circle","purple",3,-5,-2,"accept",1448,0
29,"triangle","yellow",2,-4,-2,"reject",962,1
30,"triangle","green",2,-3,-1,"accept",536,0
31,"circle","green",3,-3,0,"accept",2536,1
32,"diamond","orange",5,-6,-1,"accept",1134,0
33,"circle","green",3,-3,0,"accept",533,1
34,"triangle","yellow",2,-4,-2,"accept",1121,0
35,"rhombus","red",4,-1,3,"accept",3370,1
36,"circle","purple",3,-5,-2,"accept",639,0
37,"circle","yellow",3,-4,-1,"reject",1352,1
38,"squiggle","orange",6,-6,0,"accept",477,1
39,"rhombus","blue",4,-2,2,"reject",539,0
40,"diamond","green",5,-3,2,"reject",912,0
41,"squiggle","blue",6,-2,4,"accept",1259,1
42,"circle","orange",3,-6,-3,"accept",1324,0
43,"squiggle","red",6,-1,5,"reject",1187,0
44,"squiggle","green",6,-3,3,"accept",2206,1
45,"diamond","green",5,-3,2,"reject",637,0
46,"diamond","orange",5,-6,-1,"accept",2248,0
47,"rhombus","yellow",4,-4,0,"accept",774,1
48,"circle","blue",3,-2,1,"reject",1259,0
49,"triangle","red",2,-1,1,"accept",705,1
50,"diamond","red",5,-1,4,"accept",2792,1
51,"diamond","green",5,-3,2,"accept",791,1
52,"circle","green",3,-3,0,"accept",4091,1
53,"rhombus","purple",4,-5,-1,"accept",1271,0
54,"rhombus","yellow",4,-4,0,"accept",865,1
55,"circle","blue",3,-2,1,"accept",3621,1
56,"diamond","purple",5,-5,0,"accept",1746,1
57,"diamond","blue",5,-2,3,"accept",686,1
58,"circle","green",3,-3,0,"reject",633,1
59,"diamond","yellow",5,-4,1,"reject",1374,0
60,"circle","purple",3,-5,-2,"accept",1436,0
61,"rhombus","purple",4,-5,-1,"accept",1797,0
62,"circle","red",3,-1,2,"accept",1130,1
63,"rhombus","blue",4,-2,2,"accept",1142,1
64,"square","blue",1,-2,-1,"accept",2082,0
65,"squiggle","orange",6,-6,0,"accept",960,1
66,"diamond","purple",5,-5,0,"reject",861,1
67,"square","yellow",1,-4,-3,"reject",2023,1
68,"rhombus","red",4,-1,3,"accept",838,1
69,"rhombus","red",4,-1,3,"accept",2109,1
70,"rhombus","orange",4,-6,-2,"accept",552,0
71,"triangle","green",2,-3,-1,"accept",451,0
72,"squiggle","yellow",6,-4,2,"reject",1277,0
73,"circle","purple",3,-5,-2,"accept",3513,0
74,"squiggle","blue",6,-2,4,"accept",2393,1
75,"triangle","green",2,-3,-1,"accept",2746,0
76,"circle","green",3,-3,0,"accept",1266,1
77,"diamond","yellow",5,-4,1,"accept",1089,1
78,"triangle","yellow",2,-4,-2,"accept",1228,0
79,"rhombus","orange",4,-6,-2,"accept",860,0
80,"triangle","red",2,-1,1,"accept",1094,1
81,"rhombus","purple",4,-5,-1,"accept",2841,0
82,"circle","green",3,-3,0,"reject",396,1
