"trial","shape","colour","shape_value","colour_value","value","choice","rt","accuracy"
1,"rhombus","yellow",4,-4,0,"accept",1982,1
2,"triangle","red",2,-1,1,"accept",3605,1
3,"triangle","red",2,-1,1,"accept",1338,1
4,"squiggle","orange",6,-6,0,"accept",1497,1
5,"triangle","purple",2,-5,-3,"reject",2277,1
6,"diamond","orange",5,-6,-1,"reject",2284,1
7,"circle","red",3,-1,2,"accept",584,1
8,"diamond","purple",5,-5,0,"reject",553,1
9,"triangle","red",2,-1,1,"accept",848,1
10,"circle","red",3,-1,2,"accept",2719,1
11,"square","red",1,-1,0,"accept",2516,1
12,"diamond","green",5,-3,2,"accept",1552,1
13,"squiggle","orange",6,-6,0,"accept",2630,1
14,"squiggle","green",6,-3,3,"accept",394,1
15,"squiggle","purple",6,-5,1,"reject",5122,0
16,"rhombus","orange",4,-6,-2,"accept",1061,0
17,"squiggle","blue",6,-2,4,"reject",992,0
18,"circle","orange",3,-6,-3,"accept",1631,0
19,"square","yellow",1,-4,-3,"accept",933,0
20,"squiggle","blue",6,-2,4,"reject",3787,0
21,"triangle","yellow",2,-4,-2,"reject",907,1
22,"triangle","green",2,-3,-1,"reject",1660,1
23,"squiggle","blue",6,-2,4,"reject",939,0
24,"rhombus","yellow",4,-4,0,"accept",1140,1
25,"triangle","blue",2,-2,0,"accept",1693,1
26,"diamond","green",5,-3,2,"reject",836,0
27,"diamond","yellow",5,-4,1,"accept",1628,1
28,"triangle","green",2,-3,-1,"reject",1607,1
29,"rhombus","orange",4,-6,-2,"accept",788,0
30,"diamond","green",5,-3,2,"accept",1514,1
31,"squiggle","purple",6,-5,1,"accept",1429,1
32,"square","purple",1,-5,-4,"accept",1621,0
33,"diamond","orange",5,-6,-1,"reject",609,1
34,"circle","green",3,-3,0,"reject",974,1
35,"diamond","red",5,-1,4,"accept",2099,1
36,"diamond","red",5,-1,4,"accept",3555,1
37,"triangle","orange",2,-6,-4,"accept",1285,0
38,"squiggle","green",6,-3,3,"accept",1625,1
39,"triangle","purple",2,-5,-3,"accept",842,0
40,"triangle","red",2,-1,1,"accept",1312,1
41,"squiggle","blue",6,-2,4,"reject",955,0
42,"square","orange",1,-6,-5,"accept",604,0
43,"squiggle","blue",6,-2,4,"accept",1793,1
44,"rhombus","red",4,-1,3,"reject",979,0
45,"rhombus","blue",4,-2,2,"accept",753,1
46,"triangle","orange",2,-6,-4,"accept",1340,0
47,"rhombus","red",4,-1,3,"accept",678,1
48,"rhombus","yellow",4,-4,0,"accept",1911,1
49,"square","blue",1,-2,-1,"accept",917,0
50,"triangle","orange",2,-6,-4,"accept",2124,0
51,"circle","blue",3,-2,1,"accept",389,1
52,"rhombus","yellow",4,-4,0,"reject",442,1
53,"circle","orange",3,-6,-3,"reject",1178,1
54,"rhombus","blue",4,-2,2,"accept",1663,1
55,"circle","blue",3,-2,1,"accept",840,1
56,"diamond","green",5,-3,2,"reject",1380,0
57,"diamond","purple",5,-5,0,"reject",365,1
58,"squiggle","purple",6,-5,1,"reject",2099,0
59,"squiggle","orange",6,-6,0,"reject",1005,1
60,"square","yellow",1,-4,-3,"reject",662,1
61,"square","orange",1,-6,-5,"reject",840,1
62,"squiggle","red",6,-1,5,"reject",866,0
63,"circle","yellow",3,-4,-1,"accept",1044,0
64,"circle","blue",3,-2,1,"accept",565,1
65,"triangle","green",2,-3,-1,"accept",1650,0
66,"square","green",1,-3,-2,"accept",2055,0
67,"square","yellow",1,-4,-3,"reject",2194,1
68,"circle","green",3,-3,0,"reject",1197,1
69,"rhombus","blue",4,-2,2,"accept",1419,1
70,"squiggle","orange",6,-6,0,"accept",586,1
71,"diamond","yellow",5,-4,1,"reject",1016,0
72,"circle","blue",3,-2,1,"reject",2401,0
73,"triangle","red",2,-1,1,"accept",3229,1
74,"rhombus","orange",4,-6,-2,"accept",911,0
75,"diamond","green",5,-3,2,"accept",3632,1
76,"circle","yellow",3,-4,-1,"accept",1619,0
77,"square","red",1,-1,0,"reject",1392,1
78,"squiggle","orange",6,-6,0,"accept",988,1
79,"diamond","orange",5,-6,-1,"accept",1994,0
80,"square","purple",1,-5,-4,"accept",2124,0
81,"squiggle","orange",6,-6,0,"accept",465,1
82,"rhombus","yellow",4,-4,0,"accept",2838,1
83,"square","green",1,-3,-2,"accept",797,0
84,"triangle","red",2,-1,1,"accept",886,1
85,"triangle","orange",2,-6,-4,"accept",1414,0
86,"square","purple",1,-5,-4,"accept",735,0
87,"diamond","red",5,-1,4,"accept",917,1
88,"diamond","purple",5,-5,0,"reject",481,1
89,"circle","orange",3,-6,-3,"accept",1232,0
90,"square","orange",1,-6,-5,"accept",1753,0
91,"square","orange",1,-6,-5,"reject",1654,1
92,"rhombus","orange",4,-6,-2,"reject",4945,1
